                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.1127,                 1.0916,                 1.1836,                0.00667,                      1,                0.01082,                0.00757,                 1.4519,                 3.6169,                 1.1182,              0.0012204,              0.0012204,              0.0012204
                     73,                 1.1988,                 1.2766,                 1.1235,                0.00667,                      1,                0.01082,                0.00757,                 1.4519,                 3.6169,                 1.1182,              0.0012347,              0.0012347,              0.0012347
                     74,                 1.0642,                 1.0957,                 1.1295,                0.00667,                      1,                0.01082,                0.00757,                 1.4519,                 3.6169,                 1.1182,               0.001249,               0.001249,               0.001249
                     75,                 1.1627,                 1.2152,                 1.1249,                0.00654,                      1,                0.00659,                0.00527,                0.99108,                 3.7745,                 1.0679,              0.0012632,              0.0012632,              0.0012632
                     76,                 1.0598,                 1.1363,                 1.0206,                0.00654,                      1,                0.00659,                0.00527,                0.99108,                 3.7745,                 1.0679,              0.0012773,              0.0012773,              0.0012773
                     77,                 1.0791,                  1.084,                 1.1495,                0.00654,                      1,                0.00659,                0.00527,                0.99108,                 3.7745,                 1.0679,              0.0012913,              0.0012913,              0.0012913
                     78,                 1.2574,                 1.2338,                 1.1392,                0.00725,                      1,                0.00748,                0.00598,                0.99364,                 3.7146,                 1.1776,              0.0013052,              0.0013052,              0.0013052
                     79,                0.98692,                 0.9445,                  1.093,                0.00725,                      1,                0.00748,                0.00598,                0.99364,                 3.7146,                 1.1776,              0.0013191,              0.0013191,              0.0013191
                     80,                 1.1234,                  1.134,                 1.1099,                0.00725,                      1,                0.00748,                0.00598,                0.99364,                 3.7146,                 1.1776,              0.0013329,              0.0013329,              0.0013329
                     81,                  1.199,                 1.2043,                 1.0813,                0.00709,                      1,                0.00939,                0.00657,                 1.4218,                 3.6303,                 1.3059,              0.0013466,              0.0013466,              0.0013466
                     82,                0.99315,                0.94626,                0.97387,                0.00709,                      1,                0.00939,                0.00657,                 1.4218,                 3.6303,                 1.3059,              0.0013602,              0.0013602,              0.0013602
                     83,                 1.1144,                 1.1079,                 1.1241,                0.00709,                      1,                0.00939,                0.00657,                 1.4218,                 3.6303,                 1.3059,              0.0013737,              0.0013737,              0.0013737
                     84,                 1.0882,                 1.0695,                 1.1425,                 0.0068,                      1,                0.01686,                0.01181,                 1.4888,                 3.4789,                 1.2912,              0.0013872,              0.0013872,              0.0013872
                     85,                 1.0887,                 1.0432,                 1.1055,                 0.0068,                      1,                0.01686,                0.01181,                 1.4888,                 3.4789,                 1.2912,              0.0014006,              0.0014006,              0.0014006
                     86,                 1.1904,                 1.2591,                 1.1025,                 0.0068,                      1,                0.01686,                0.01181,                 1.4888,                 3.4789,                 1.2912,              0.0014139,              0.0014139,              0.0014139
                     87,                 1.0072,                 1.1034,                 1.0792,                0.00741,                      1,                0.02689,                0.01882,                 1.1565,                 3.1343,                 1.0965,              0.0014271,              0.0014271,              0.0014271
                     88,                 1.1557,                0.97577,                 1.0115,                0.00741,                      1,                0.02689,                0.01882,                 1.1565,                 3.1343,                 1.0965,              0.0014403,              0.0014403,              0.0014403
                     89,                0.84608,                0.86545,                0.90043,                0.00741,                      1,                0.02689,                0.01882,                 1.1565,                 3.1343,                 1.0965,              0.0014533,              0.0014533,              0.0014533
                     90,                 1.2343,                 1.0949,                 1.0772,                0.00571,                      1,                  0.995,                  0.597,                 1.4371,                 2.6171,                 1.0229,              0.0014663,              0.0014663,              0.0014663
                     91,                 1.0986,                 1.0045,                 1.0388,                0.00571,                      1,                  0.995,                  0.597,                 1.4371,                 2.6171,                 1.0229,              0.0014792,              0.0014792,              0.0014792
                     92,                 1.1121,                0.95312,                 1.0433,                0.00571,                      1,                  0.995,                  0.597,                 1.4371,                 2.6171,                 1.0229,              0.0014921,              0.0014921,              0.0014921
                     93,                0.95425,                0.93055,                 1.0014,                0.89837,                      1,                  0.995,                0.39877,                 1.6964,                 1.6023,                 1.0765,              0.0015048,              0.0015048,              0.0015048
                     94,                0.95218,                0.91849,                 1.0086,                0.89837,                      1,                  0.995,                0.39877,                 1.6964,                 1.6023,                 1.0765,              0.0015175,              0.0015175,              0.0015175
                     95,                 1.0084,                 1.0544,                 1.0729,                0.89837,                      1,                  0.995,                0.39877,                 1.6964,                 1.6023,                 1.0765,              0.0015301,              0.0015301,              0.0015301
                     96,                 1.0252,                0.96377,                0.98975,                0.96274,                      1,                  0.995,                  0.597,                 1.4419,                 1.1544,                0.97823,              0.0015426,              0.0015426,              0.0015426
                     97,                 1.0454,                 0.9205,                 1.1149,                0.96274,                      1,                  0.995,                  0.597,                 1.4419,                 1.1544,                0.97823,               0.001555,               0.001555,               0.001555
                     98,                 1.0918,                0.91659,                 1.0294,                0.96274,                      1,                  0.995,                  0.597,                 1.4419,                 1.1544,                0.97823,              0.0015674,              0.0015674,              0.0015674
                     99,                 0.9083,                0.80776,                0.98328,                0.96618,                      1,                  0.995,                  0.796,                0.86834,                 1.1667,                0.80852,              0.0015797,              0.0015797,              0.0015797
                    100,                0.93119,                0.96985,                 1.0023,                0.96618,                      1,                  0.995,                  0.796,                0.86834,                 1.1667,                0.80852,              0.0015919,              0.0015919,              0.0015919
                    101,                0.97614,                0.91276,                 1.0487,                0.96618,                      1,                  0.995,                  0.796,                0.86834,                 1.1667,                0.80852,               0.001604,               0.001604,               0.001604
                    102,                 1.0402,                 0.9207,                 1.0263,                0.96856,                      1,                  0.995,                 0.6965,                   1.43,                 1.1714,                0.93274,                 0.0016,                 0.0016,                 0.0016
