                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.93041,                0.96628,                 1.0844,                0.94865,                    0.7,                0.78657,                 0.4977,                 1.3003,                 1.2952,                 1.5425,              0.0011715,              0.0011715,              0.0011715
                     93,                0.87283,                  0.972,                 1.0158,                0.90656,                0.73333,                0.78409,                0.53312,                 1.3578,                 1.4083,                 1.6049,              0.0011687,              0.0011687,              0.0011687
                     94,                0.75415,                0.80998,                0.99578,                0.90656,                0.73333,                0.78409,                0.53312,                 1.3578,                 1.4083,                 1.6049,              0.0011659,              0.0011659,              0.0011659
                     95,                0.83594,                0.82334,                 1.0016,                0.83591,                0.69064,                0.72737,                0.53151,                 1.2717,                 1.4153,                 1.5702,               0.001163,               0.001163,               0.001163
                     96,                0.88936,                0.94203,                 1.1141,                0.85245,                0.76667,                0.78213,                0.52172,                 1.2954,                 1.3319,                 1.5185,              0.0011602,              0.0011602,              0.0011602
                     97,                0.97614,                 1.1651,                 1.1351,                0.85245,                0.76667,                0.78213,                0.52172,                 1.2954,                 1.3319,                 1.5185,              0.0011574,              0.0011574,              0.0011574
                     98,                0.81772,                0.75085,                0.99521,                0.90151,                0.69286,                0.77836,                0.58573,                  1.212,                 1.3048,                 1.4198,              0.0011545,              0.0011545,              0.0011545
                     99,                0.89076,                0.78049,                  1.041,                0.89611,                0.71401,                0.80771,                0.63082,                 1.1514,                 1.2285,                 1.3988,              0.0011517,              0.0011517,              0.0011517
                    100,                0.90728,                 0.8935,                0.99887,                0.89611,                0.71401,                0.80771,                0.63082,                 1.1514,                 1.2285,                 1.3988,              0.0011489,              0.0011489,              0.0011489
                    101,                 1.8176,                 3.0533,                 1.5225,                0.91364,                0.66667,                0.78081,                0.59814,                 1.1196,                 1.2695,                 1.4125,              0.0011461,              0.0011461,              0.0011461
                    102,                0.94299,                 1.0396,                 1.1055,                0.86087,                0.70567,                0.78889,                0.58848,                 1.1427,                 1.3043,                 1.3998,              0.0011432,              0.0011432,              0.0011432
                    103,                0.78904,                0.80367,                0.96806,                0.86087,                0.70567,                0.78889,                0.58848,                 1.1427,                 1.3043,                 1.3998,              0.0011404,              0.0011404,              0.0011404
                    104,                0.62985,                0.66683,                0.95367,                 0.8396,                0.71123,                0.79824,                0.56418,                 1.0756,                 1.3106,                 1.3558,              0.0011376,              0.0011376,              0.0011376
                    105,                0.81519,                 0.8502,                 1.0054,                0.84859,                0.66064,                0.78502,                 0.5737,                 1.1816,                 1.2843,                 1.4051,              0.0011347,              0.0011347,              0.0011347
                    106,                0.77395,                0.78669,                 1.0028,                0.84859,                0.66064,                0.78502,                 0.5737,                 1.1816,                 1.2843,                 1.4051,              0.0011319,              0.0011319,              0.0011319
                    107,                0.78523,                0.79581,                 1.0124,                0.88002,                0.76413,                0.84754,                0.56842,                 1.2483,                 1.2137,                 1.4371,              0.0011291,              0.0011291,              0.0011291
                    108,                0.83738,                0.81619,                 1.0668,                0.87981,                0.74976,                0.88805,                0.57234,                 1.1471,                 1.1892,                 1.4931,              0.0011263,              0.0011263,              0.0011263
                    109,                0.71858,                0.72172,                0.92352,                0.87981,                0.74976,                0.88805,                0.57234,                 1.1471,                 1.1892,                 1.4931,              0.0011234,              0.0011234,              0.0011234
                    110,                0.71864,                 0.7862,                0.96486,                0.86291,                0.77358,                0.90165,                0.57303,                 1.1231,                 1.1092,                 1.4698,              0.0011206,              0.0011206,              0.0011206
                    111,                 0.7134,                0.68272,                0.98083,                0.84818,                0.83402,                0.87461,                0.61443,                 1.0653,                 1.0128,                 1.4103,              0.0011178,              0.0011178,              0.0011178
                    112,                0.74474,                0.85964,                0.99862,                0.84818,                0.83402,                0.87461,                0.61443,                 1.0653,                 1.0128,                 1.4103,              0.0011149,              0.0011149,              0.0011149
                    113,                0.71841,                0.77746,                0.96309,                0.88879,                0.83032,                 0.8972,                0.57887,                  1.106,                 1.1037,                  1.409,              0.0011121,              0.0011121,              0.0011121
                    114,                0.83807,                 1.0622,                 1.0978,                0.89172,                    0.8,                 0.8927,                0.59472,                 1.1851,                  1.116,                 1.4076,              0.0011093,              0.0011093,              0.0011093
                    115,                0.74079,                0.80282,                 1.0318,                0.89172,                    0.8,                 0.8927,                0.59472,                 1.1851,                  1.116,                 1.4076,              0.0011064,              0.0011064,              0.0011064
                    116,                0.79069,                0.76942,                 1.0028,                0.85128,                    0.7,                0.84327,                0.59361,                 1.1952,                  1.088,                 1.3839,              0.0011036,              0.0011036,              0.0011036
                    117,                0.78733,                0.98695,                 1.0266,                0.79293,                    0.8,                0.83551,                0.54272,                 1.3357,                 1.1567,                 1.4677,              0.0011008,              0.0011008,              0.0011008
                    118,                0.82599,                0.82658,                 1.0155,                0.79293,                    0.8,                0.83551,                0.54272,                 1.3357,                 1.1567,                 1.4677,               0.001098,               0.001098,               0.001098
                    119,                0.80826,                0.79069,                 1.0488,                0.82381,                0.76667,                0.84196,                0.56142,                 1.3113,                 1.1265,                 1.4503,              0.0010951,              0.0010951,              0.0010951
                    120,                0.99585,                  1.004,                  1.155,                0.79187,                    0.8,                0.86281,                0.57389,                  1.228,                 1.1518,                 1.4014,              0.0010923,              0.0010923,              0.0010923
                    121,                0.87771,                0.79779,                0.98053,                0.79187,                    0.8,                0.86281,                0.57389,                  1.228,                 1.1518,                 1.4014,              0.0010895,              0.0010895,              0.0010895
                    122,                0.75535,                0.68182,                0.94686,                 0.8381,                0.79956,                0.82423,                0.59606,                 1.2405,                  1.217,                 1.4435,              0.0010866,              0.0010866,              0.0010866
                    123,                0.70372,                0.72222,                0.97175,                0.81078,                0.76667,                0.82488,                0.56861,                 1.2543,                 1.2532,                 1.4895,              0.0010838,              0.0010838,              0.0010838
                    124,                0.76626,                0.71389,                0.97422,                0.81078,                0.76667,                0.82488,                0.56861,                 1.2543,                 1.2532,                 1.4895,               0.001081,               0.001081,               0.001081
                    125,                0.67634,                0.74431,                0.98397,                0.89061,                0.73333,                0.81622,                0.56568,                 1.2853,                 1.1894,                 1.4881,              0.0010782,              0.0010782,              0.0010782
                    126,                0.67378,                0.71401,                0.99988,                0.84978,                0.73333,                0.77493,                0.54403,                 1.2674,                 1.1726,                 1.4659,              0.0010753,              0.0010753,              0.0010753
                    127,                0.73639,                0.83136,                 1.0191,                0.84978,                0.73333,                0.77493,                0.54403,                 1.2674,                 1.1726,                 1.4659,              0.0010725,              0.0010725,              0.0010725
                    128,                0.63482,                0.64966,                0.91994,                0.87022,                0.76667,                0.77413,                0.51949,                 1.2778,                 1.2307,                 1.4761,              0.0010697,              0.0010697,              0.0010697
                    129,                 0.8143,                0.75354,                 1.0592,                0.86768,                    0.8,                0.76458,                0.51324,                  1.353,                 1.2426,                 1.4681,              0.0010668,              0.0010668,              0.0010668
