                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.63247,                 2.1145,                0.62414,                0.45341,                 1.0574,                      1,                0.83077,                  0.955,                0.72352,                      1,                0.83077,                  0.899,                0.71994,                 0.9118,                 1.8281,                0.67415,                0.66149,                 1.3751,              0.0013466,              0.0013466,              0.0013466
                     44,                0.60045,                 2.1352,                0.58835,                0.44459,                0.97741,                      1,                0.81634,                  0.955,                0.70047,                      1,                0.81634,                  0.955,                0.70067,                 0.8741,                 1.7058,                0.66518,                0.61413,                 1.3659,              0.0013696,              0.0013696,              0.0013696
                     45,                0.64532,                 2.1763,                0.61853,                0.48139,                0.99506,                0.95744,                0.83333,                0.87674,                0.60571,                0.95744,                0.83333,                0.87674,                0.69629,                 1.0294,                  1.972,                0.65555,                0.87522,                 1.4892,              0.0013923,              0.0013923,              0.0013923
                     46,                0.61837,                 1.9196,                0.59546,                0.50146,                0.99886,                0.95744,                0.83333,                0.87674,                0.60571,                0.95744,                0.83333,                0.87674,                0.69629,                 1.0294,                  1.972,                0.65555,                0.87522,                 1.4892,              0.0014146,              0.0014146,              0.0014146
                     47,                0.61215,                 2.1173,                0.61866,                0.50223,                 1.0334,                0.81956,                0.83333,                0.82412,                0.54111,                0.81956,                0.83333,                0.81204,                0.59857,                 1.1185,                 2.5387,                0.64211,                  1.023,                 1.5696,              0.0014365,              0.0014365,              0.0014365
                     48,                0.57675,                 2.1294,                0.63861,                0.48875,                0.98266,                0.81996,                0.83333,                0.72492,                0.43135,                0.81996,                0.83333,                0.72797,                0.42857,                 1.0979,                 2.8605,                0.63716,                 1.0178,                 1.6311,               0.001458,               0.001458,               0.001458
                     49,                0.61649,                 1.6204,                0.58028,                0.45465,                 0.9414,                0.81996,                0.83333,                0.72492,                0.43135,                0.81996,                0.83333,                0.72797,                0.42857,                 1.0979,                 2.8605,                0.63716,                 1.0178,                 1.6311,              0.0014791,              0.0014791,              0.0014791
                     50,                0.61712,                   2.02,                 0.6179,                0.48549,                 1.0085,                0.81777,                0.83333,                0.72492,                 0.4639,                0.81777,                0.83333,                0.79407,                0.34384,                 1.1393,                 3.1201,                0.63381,                 1.0121,                 1.6237,              0.0014998,              0.0014998,              0.0014998
                     51,                0.61551,                 2.0501,                0.63047,                0.49243,                  0.975,                 0.8196,                0.83333,                0.84767,                0.56513,                 0.8196,                0.83333,                0.87433,                 0.3882,                 1.0642,                 2.6107,                0.64024,                0.87663,                 1.7075,               0.001505,               0.001505,               0.001505
                     52,                0.63451,                 2.3241,                0.61673,                0.51241,                 1.0078,                 0.8196,                0.83333,                0.84767,                0.56513,                 0.8196,                0.83333,                0.87433,                 0.3882,                 1.0642,                 2.6107,                0.64024,                0.87663,                 1.7075,              0.0014951,              0.0014951,              0.0014951
