                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.65482,                0.58691,                0.97016,                0.73624,                      1,                0.84333,                0.60456,                 1.0901,                 1.7268,                  1.556,              0.0015684,              0.0015684,              0.0015684
                    111,                  0.598,                0.68151,                  1.023,                0.65466,                      1,                  0.885,                0.57476,                 1.1785,                 1.7884,                 1.6694,              0.0015644,              0.0015644,              0.0015644
                    112,                0.63418,                0.56767,                0.89753,                0.65466,                      1,                  0.885,                0.57476,                 1.1785,                 1.7884,                 1.6694,              0.0015604,              0.0015604,              0.0015604
                    113,                0.56946,                0.59568,                0.98623,                0.53228,                0.83333,                0.68659,                0.46788,                 1.1688,                 2.0319,                 1.6134,              0.0015565,              0.0015565,              0.0015565
                    114,                0.64461,                0.63428,                 1.0391,                0.57119,                    0.5,                0.61838,                0.48474,                0.99255,                 2.0835,                 1.3629,              0.0015525,              0.0015525,              0.0015525
                    115,                0.66489,                0.64048,                0.97766,                0.57119,                    0.5,                0.61838,                0.48474,                0.99255,                 2.0835,                 1.3629,              0.0015486,              0.0015486,              0.0015486
                    116,                0.63282,                 0.6416,                 1.0487,                0.68986,                    0.5,                0.72698,                0.58013,                0.82937,                  2.012,                 1.3436,              0.0015446,              0.0015446,              0.0015446
                    117,                0.52769,                0.56196,                0.91928,                0.71734,                0.66667,                0.79583,                0.58247,                0.83589,                 2.0636,                 1.3208,              0.0015406,              0.0015406,              0.0015406
                    118,                0.61543,                0.58975,                 0.9584,                0.71734,                0.66667,                0.79583,                0.58247,                0.83589,                 2.0636,                 1.3208,              0.0015367,              0.0015367,              0.0015367
                    119,                0.49057,                0.56628,                0.91329,                0.75592,                0.66667,                0.80643,                0.59725,                0.89432,                 2.2778,                 1.3115,              0.0015327,              0.0015327,              0.0015327
                    120,                0.56526,                0.72327,                0.98677,                0.90338,                0.66667,                0.83982,                0.49689,                 1.2732,                 1.8289,                 1.6023,              0.0015288,              0.0015288,              0.0015288
                    121,                0.68172,                0.66627,                 1.0585,                0.90338,                0.66667,                0.83982,                0.49689,                 1.2732,                 1.8289,                 1.6023,              0.0015248,              0.0015248,              0.0015248
                    122,                0.50327,                0.53877,                0.93119,                      1,                0.81032,                0.97214,                0.50204,                 1.4023,                 1.4663,                 1.7516,              0.0015208,              0.0015208,              0.0015208
                    123,                0.59652,                0.61795,                0.99423,                0.83543,                      1,                0.97214,                0.54295,                 1.2061,                 1.1915,                 1.6106,              0.0015169,              0.0015169,              0.0015169
                    124,                0.61288,                0.57063,                0.90921,                0.83543,                      1,                0.97214,                0.54295,                 1.2061,                 1.1915,                 1.6106,              0.0015129,              0.0015129,              0.0015129
                    125,                0.54009,                0.54103,                0.91308,                0.84567,                      1,                0.94786,                0.55824,                 1.2746,                 1.1469,                 1.6801,               0.001509,               0.001509,               0.001509
